"NomMunicipioSimples";"NomUF"
"belem";"PA"
"belem";"PB"
"belem";"AL"
"boa vista";"RR"
"boa vista";"PB"
"bonito";"PA"
"bonito";"PE"
"bonito";"BA"
"bonito";"MS"
"campo grande";"AL"
"campo grande";"MS"
"cascavel";"CE"
"cascavel";"PR"
"cruzeiro do sul";"AC"
"cruzeiro do sul";"PR"
"cruzeiro do sul";"RS"
"humaita";"AM"
"humaita";"RS"
"palmas";"TO"
"palmas";"PR"
"rio branco";"AC"
"rio branco";"MT"
"santa maria";"RN"
"santa maria";"RS"
"santarem";"PA"
"santarem";"PB"
"tabatinga";"AM"
"tabatinga";"SP"
"valenca";"BA"
"valenca";"RJ"
